REMITOS,CANTIDAD
1000021739,150
1000021740,188
1000021741,712
1000021742,617
1000021743,409
1000021744,1226
1000021745,321
1000021746,5
1000021747,346
1000021748,70
1000021749,121
1000021750,48
1000021751,234
1000021752,99
1000021753,63
1000021754,238
1000021755,65
1000021756,151
1000021757,180
1000021758,135
1000021759,197
1000021760,177
1000021761,334
1000021762,246
1000021763,294
1000021764,26
1000021765,548
1000021766,1
1000021767,665
1000021768,111
1000021769,118
1000021770,131
1000021771,120
1000021772,113
1000021773,40
1000021775,66
1000021776,100
1000021777,522
1000021778,660
1000021779,47
1000021780,209
1000021781,204
1000021782,121
1000021783,100
1000021784,414
1000021785,23
1000021786,487
1000021787,458
1000021788,23
1000021789,326
1000021790,120
1000021791,156
1000021792,130
1000021793,235
1000021794,154
1000021795,147
1000021796,70
1000021797,172
1000021798,228
1000021799,568
1000021800,188
1000021801,80
1000021802,230
1000021803,151
1000021804,451
1000021805,66
1000021806,450
1000021807,7
1000021808,391
1000021809,10
1000021810,45
1000021811,97
1000021812,78
1000021813,257
1000021814,1423
1000021815,220
1000021816,10
1000021817,680
1000021818,426
1000021819,89
1000021820,166
1000021821,273
1000021822,130
1000021823,217
1000021824,140
1000021825,82
1000021826,564
1000021827,166
1000024001,31
1000024002,1042
1000024003,480
1000024004,189
1000024007,21
1000024008,70
1000024009,6
1000024010,73
1000024011,60
1000024012,40
1000024013,4
1000024014,11
1000024015,379
1000024016,300
1000024017,650
1000024018,78
1000024019,265
1000024020,203
1000024021,96
1000024022,593
1000024023,1088
1000024024,997
1000024025,327
1000024026,202
1000024027,621
1000024028,77
1000024029,417
1000024030,191
1000024031,230
1000024032,88
1000024033,142
1000024034,131
1000024035,233
1000024036,107
1000024037,22
1000024038,137
1000024039,8
1000024040,269
1000024041,22
1000024042,693
1000024043,138
1000024044,8
1000024045,22
1000024046,2352
1000024047,273
1000024048,30
1000024049,12
1000024050,513
1000024051,207
1000024052,321
1000024053,87
1000024054,326
1000024055,243
1000024056,256
1000024057,34
1000024058,59
1000024059,464
1000024060,675
1000024061,1
1000024062,152
1000024063,426
1000024064,87
1000024065,166
1000024066,46
1000024067,725
1000024068,275
1000024069,36
1000024070,76
1000024071,101
1000024072,180
1000024073,8
1000024074,30
1000024075,14
1000024076,105
1000024077,130
1000024078,43
1000024079,60
1000024080,70
1000024081,1088
1000024082,2512
1000024083,198
1000024084,24
1000024085,701
1000024086,76
1000024087,66
1000024088,35
1000024089,212
1000024090,85
1000024091,156
1000024092,198
1000024093,140
1000024094,844
1000024095,95
1000024096,957
1000024097,952
1000024098,254
1000024099,160
1000024100,227
1000024101,150
1000024102,869
1000024103,347
1000024104,40
1000024105,45
1000024106,872
1000024107,267
1000024108,73
1000024109,83
1000024110,148
1000024111,236
1000024112,2439
1000024113,493
1000024114,450
1000024115,102
1000024116,368
1000024117,775
1000024118,100
1000024119,442
1000024120,765
1000024121,439
1000024122,464
1000024123,565
1000024124,506
1000024125,334
1000024126,292
1000024127,195
1000024128,175
1000024129,136
1000024130,177
1000024131,115
1000024132,108
1000024133,55
1000024134,73
1000024135,72
1000024136,50
1000024137,22
1000024138,21
1000024141,117
1000024142,90
1000024143,101
1000024144,90
1000024145,352
1000024146,224
1000024147,175
1000024148,454
1000024149,135
1000024150,3
1000024151,114
1000024152,80
1000024153,30
1000024154,7
1000024155,6
1000024156,60
1000024157,10
1000024158,19
1000024159,244
1000024160,40
1000024161,79
1000024162,80
1000024163,72
1000024164,393
1000024165,301
1000024166,1656
1000024167,237
1000024168,18
1000024169,78
1000024170,530
1000024171,2
1000024172,84
1000024173,100
1000024174,45
1000024175,172
1000024176,10
1000024177,100
1000024178,180
1000024179,652
1000024180,552
1000024181,187
1000024182,48
1000024183,1
1000024184,830
1000024185,460
1000024186,18
1000024187,2
1000024188,572
1000024189,57
1000024190,25
1000024191,66
1000024192,22
1000024193,1
1000024194,105
1000024195,45
1000024196,20
1000024197,20
1000024198,740
1000024199,487
1000024200,277
1000024201,399
1000024202,8
1000024203,416
1000024204,1097
1000024205,300
1000024206,44
1000024207,136
1000024208,586
1000024209,15
1000024210,313
1000024211,75
1000024212,152
1000024213,225
1000024214,99
1000024215,303
1000024216,252
1000024217,216
1000024218,30
1000024219,104
1000024220,108
1000024221,5
1000024222,2322
1000024223,236
1000024224,657
1000024225,42
1000024226,511
1000024227,112
1000024228,292
1000024229,95
1000024230,20
1000024231,110
1000024232,238
1000024233,82
1000024234,24
1000024235,5
1000024236,24
1000024237,10
1000024238,340
1000024239,137
1000024240,235
1000024241,108
1000024242,687
1000024243,89
1000024244,60
1000024245,40
1000024246,786
1000024247,178
1000024248,188
1000024250,297
1000024251,180
1000024252,49
1000024253,212
1000024254,1305
1000024255,693
1000024256,772
1000024257,952
1000024258,289
1000024259,5
1000024260,103
1000024261,1203
1000024262,462
1000024263,223
1000024264,10
1000024265,40
1000024266,118
1000024267,150
1000024268,24
1000024269,77
1000024270,48
1000024271,963
1000024272,228
1000024273,98
1000024274,110
1000024275,742
1000024276,42
1000024277,26
1000024278,20
1000024279,53
1000024280,315
1000024281,294
1000024282,49
1000024283,125
1000024284,145
1000024285,25
1000024286,98
1000024287,357
1000024288,505
1000024289,1499
1000024290,336
1000024291,430
1000024292,1400
1000024293,52
1000024294,43
1000024295,883
1000024296,59
1000024297,60
1000024298,66
1000024299,8
1000024300,495
1000024301,30
1000024302,126
1000024303,4
1000024304,292
1000024305,150
1000024306,680
1000024307,85
1000024309,32
1000024310,13
1000024311,40
1000024312,12
1000024313,418
1000024314,238
1000024315,41
1000024316,121
1000024317,63
1000024318,808
1000024319,1197
