remito,remitoOriginal,cantidad
1000021739,0001000021739,150
1000021740,0001000021740,188
1000021741,0001000021741,712
1000021742,0001000021742,617
1000021743,0001000021743,409
1000021744,0001000021744,1226
1000021745,0001000021745,321
1000021746,0001000021746,5
1000021747,0001000021747,346
1000021748,0001000021748,70
1000021749,0001000021749,121
1000021750,0001000021750,48
1000021751,0001000021751,234
1000021752,0001000021752,99
1000021753,0001000021753,63
1000021754,0001000021754,238
1000021755,0001000021755,65
1000021756,0001000021756,151
1000021757,0001000021757,180
1000021758,0001000021758,135
1000021759,0001000021759,197
1000021760,0001000021760,177
1000021761,0001000021761,334
1000021762,0001000021762,246
1000021763,0001000021763,294
1000021764,0001000021764,26
1000021765,0001000021765,548
1000021766,0001000021766,1
1000021767,0001000021767,665
1000021768,0001000021768,111
1000021769,0001000021769,118
1000021770,0001000021770,131
1000021771,0001000021771,120
1000021772,0001000021772,113
1000021773,0001000021773,40
1000021775,0001000021775,66
1000021776,0001000021776,100
1000021777,0001000021777,522
1000021778,0001000021778,660
1000021779,0001000021779,47
1000021780,0001000021780,209
1000021781,0001000021781,204
1000021782,0001000021782,121
1000021783,0001000021783,100
1000021784,0001000021784,414
1000021785,0001000021785,23
1000021786,0001000021786,487
1000021787,0001000021787,458
1000021788,0001000021788,23
1000021789,0001000021789,326
1000021790,0001000021790,120
1000021791,0001000021791,156
1000021792,0001000021792,130
1000021793,0001000021793,235
1000021794,0001000021794,154
1000021795,0001000021795,147
1000021796,0001000021796,70
1000021797,0001000021797,172
1000021798,0001000021798,228
1000021799,0001000021799,568
1000021800,0001000021800,188
1000021801,0001000021801,80
1000021802,0001000021802,230
1000021803,0001000021803,151
1000021804,0001000021804,451
1000021805,0001000021805,66
1000021806,0001000021806,450
1000021807,0001000021807,7
1000021808,0001000021808,391
1000021809,0001000021809,10
1000021810,0001000021810,45
1000021811,0001000021811,97
1000021812,0001000021812,78
1000021813,0001000021813,257
1000021814,0001000021814,1423
1000021815,0001000021815,220
1000021816,0001000021816,10
1000021817,0001000021817,680
1000021818,0001000021818,426
1000021819,0001000021819,89
1000021820,0001000021820,166
1000021821,0001000021821,273
1000021822,0001000021822,130
1000021823,0001000021823,217
1000021824,0001000021824,140
1000021825,0001000021825,82
1000021826,0001000021826,564
1000021827,0001000021827,166
1000024001,0001000024001,31
1000024002,0001000024002,1042
1000024003,0001000024003,480
1000024004,0001000024004,189
1000024007,0001000024007,21
1000024008,0001000024008,70
1000024009,0001000024009,6
1000024010,0001000024010,73
1000024011,0001000024011,60
1000024012,0001000024012,40
1000024013,0001000024013,4
1000024014,0001000024014,11
1000024015,0001000024015,379
1000024016,0001000024016,300
1000024017,0001000024017,650
1000024018,0001000024018,78
1000024019,0001000024019,265
1000024020,0001000024020,203
1000024021,0001000024021,96
